rabindranath-tagore	라빈드라나트 타고르	1861-1941	south-asia
natsume-soseki	나쓰메 소세키	1867-1916	east-asia
lu-xun	루쉰	1881-1936	east-asia
ryunosuke-akutagawa	아쿠타가와 류노스케	1892-1927	east-asia
yi-sang	이상	1910-1937	east-asia
kim-sowol	김소월	1902-1934	east-asia
han-yong-un	한용운	1879-1944	east-asia
premchand	프렘찬드	1880-1936	south-asia
bruno-schulz	브루노 슐츠	1892-1942	eastern-europe
witold-gombrowicz	비톨트 곰브로비치	1904-1969	eastern-europe
hermann-broch	헤르만 브로흐	1886-1951	central-europe
elias-canetti	엘리아스 카네티	1905-1994	central-europe
cesar-vallejo	세사르 바예호	1892-1938	latin-america
anna-akhmatova	안나 아흐마토바	1889-1966	russia
marina-tsvetaeva	마리나 츠베타예바	1892-1941	russia
sadegh-hedayat	사데크 헤다야트	1903-1951	middle-east-north-africa
marcel-proust	마르셀 프루스트	1871-1922	western-europe
franz-kafka	프란츠 카프카	1883-1924	central-europe
james-joyce	제임스 조이스	1882-1941	britain-ireland
virginia-woolf	버지니아 울프	1882-1941	britain-ireland
william-faulkner	윌리엄 포크너	1897-1962	north-america
thomas-mann	토마스 만	1875-1955	central-europe
robert-musil	로베르트 무질	1880-1942	central-europe
fernando-pessoa	페르난두 페소아	1888-1935	iberia
william-butler-yeats	윌리엄 버틀러 예이츠	1865-1939	britain-ireland
rainer-maria-rilke	라이너 마리아 릴케	1875-1926	central-europe
ts-eliot	T. S. 엘리엇	1888-1965	north-america
gertrude-stein	거트루드 스타인	1874-1946	north-america
katherine-mansfield	캐서린 맨스필드	1888-1923	oceania
luigi-pirandello	루이지 피란델로	1867-1936	italy
bertolt-brecht	베르톨트 브레히트	1898-1956	central-europe
mikhail-bulgakov	미하일 불가코프	1891-1940	russia
isaac-babel	이사크 바벨	1894-1940	russia
federico-garcia-lorca	페데리코 가르시아 로르카	1898-1936	iberia
gabriel-garcia-marquez	가브리엘 가르시아 마르케스	1927-2014	latin-america
italo-calvino	이탈로 칼비노	1923-1985	italy
toni-morrison	토니 모리슨	1931-2019	north-america
thomas-pynchon	토머스 핀천	1937-	north-america
georges-perec	조르주 페렉	1936-1982	western-europe
milan-kundera	밀란 쿤데라	1929-2023	central-europe
stanislaw-lem	스타니스와프 렘	1921-2006	central-europe
umberto-eco	움베르토 에코	1932-2016	italy
jose-saramago	주제 사라마구	1922-2010	iberia
salman-rushdie	살만 루슈디	1947-	south-asia
wg-sebald	W. G. 제발트	1944-2001	central-europe
ursula-k-le-guin	어슐러 K. 르 귄	1929-2018	north-america
octavia-butler	옥타비아 버틀러	1947-2006	north-america
margaret-atwood	마거릿 애트우드	1939-	north-america
don-delillo	돈 드릴로	1936-	north-america
kazuo-ishiguro	가즈오 이시구로	1954-	britain-ireland
jm-coetzee	J. M. 쿳시	1940-	sub-saharan-africa
yasunari-kawabata	가와바타 야스나리	1899-1972	east-asia
osamu-dazai	다자이 오사무	1909-1948	east-asia
yukio-mishima	미시마 유키오	1925-1970	east-asia
kobo-abe	아베 고보	1924-1993	east-asia
kenzaburo-oe	오에 겐자부로	1935-2023	east-asia
eileen-chang	장아이링	1920-1995	east-asia
saadat-hasan-manto	사다트 하산 만토	1912-1955	south-asia
rk-narayan	R. K. 나라얀	1906-2001	south-asia
park-kyung-ni	박경리	1926-2008	east-asia
jorge-luis-borges	호르헤 루이스 보르헤스	1899-1986	latin-america
pablo-neruda	파블로 네루다	1904-1973	latin-america
juan-rulfo	후안 룰포	1917-1986	latin-america
julio-cortazar	훌리오 코르타사르	1914-1984	latin-america
alejo-carpentier	알레호 카르펜티에르	1904-1980	latin-america
joao-guimaraes-rosa	주앙 기마랑이스 호자	1908-1967	latin-america
clarice-lispector	클라리시 리스펙토르	1920-1977	latin-america
chinua-achebe	치누아 아체베	1930-2013	sub-saharan-africa
naguib-mahfouz	나기브 마푸즈	1911-2006	middle-east-north-africa
aime-cesaire	에메 세제르	1913-2008	caribbean
wole-soyinka	월레 소잉카	1934-	sub-saharan-africa
ngugi-wa-thiongo	응구기 와 시옹오	1938-2025	sub-saharan-africa
tayeb-salih	타예브 살리흐	1929-2009	middle-east-north-africa
derek-walcott	데릭 월컷	1930-2017	caribbean
samuel-beckett	사뮈엘 베케트	1906-1989	britain-ireland
vladimir-nabokov	블라디미르 나보코프	1899-1977	russia
albert-camus	알베르 카뮈	1913-1960	western-europe
ernest-hemingway	어니스트 헤밍웨이	1899-1961	north-america
george-orwell	조지 오웰	1903-1950	britain-ireland
simone-de-beauvoir	시몬 드 보부아르	1908-1986	western-europe
paul-celan	파울 첼란	1920-1970	eastern-europe
zora-neale-hurston	조라 닐 허스턴	1891-1960	north-america
ralph-ellison	랠프 엘리슨	1913-1994	north-america
james-baldwin	제임스 볼드윈	1924-1987	north-america
flannery-oconnor	플래너리 오코너	1925-1964	north-america
marguerite-duras	마르그리트 뒤라스	1914-1996	western-europe
alain-robbe-grillet	알랭 로브그리예	1922-2008	western-europe
