src--britannica	Encyclopædia Britannica — 작가·작품 표제 항목	Encyclopædia Britannica, Inc.	https://www.britannica.com
src--nobelprize	The Nobel Prize in Literature — 수상자 전기·수상 연설	Nobel Prize Outreach / Svenska Akademien	https://www.nobelprize.org
src--poetry-foundation	Poetry Foundation — 시인 프로필	Poetry Foundation	https://www.poetryfoundation.org
src--poets-org	poets.org — 시인 프로필	Academy of American Poets	https://poets.org
src--paris-review	The Paris Review — Art of Fiction / Art of Poetry 인터뷰	The Paris Review	https://www.theparisreview.org
src--cambridge-companions	Cambridge Companions to Literature 총서	Cambridge University Press	
src--oxford-worlds-classics	Oxford World's Classics 서문·해제	Oxford University Press	
src--pleiade	Bibliothèque de la Pléiade 해제·연보	Éditions Gallimard	
src--library-of-america	Library of America — 작가 연보·해제	Library of America	https://www.loa.org
src--encykorea	한국민족문화대백과사전 — 작가·작품 항목	한국학중앙연구원	https://encykorea.aks.ac.kr
src--lti-korea	한국문학번역원 작가 소개 자료	Literature Translation Institute of Korea	https://www.ltikorea.or.kr
src--kr-world-lit-editions	국내 주요 세계문학전집 해설 (민음사·문학동네·을유문화사·창비 등)	국내 문학 출판사	
src--aozora-bunko	青空文庫 — 작품별 저본 서지 정보	青空文庫	https://www.aozora.gr.jp
src--soseki-asahi-serialization	아사히신문 연재 소설 지면 (1907–1916)	朝日新聞社	
src--xinqingnian-1918	『신청년(新靑年)』 4권 5호 (1918년 5월)	新靑年社	
src--chenbao-fukan-1921	『신보 부간(晨報副刊)』 연재 지면 (1921년 12월 – 1922년 2월)	晨報社	
src--lu-xun-quanji	『魯迅全集』 주석·연보	人民文學出版社	
src--gaebyeok	『개벽(開闢)』 지면 (1920–1926)	개벽사	
src--joseon-jungang-ilbo-1934	『조선중앙일보』 「오감도」 연재 지면 (1934년 7–8월)	조선중앙일보사	
src--joseon-to-kenchiku	『조선과 건축(朝鮮と建築)』 지면 (1929–1932)	朝鮮建築會	
src--nimui-chimmuk-1926	『님의 침묵』 초판 (1926)	회동서관	
src--premchand-pwa-address-1936	「문학의 목적(साहित्य का उद्देश्य)」 — 전인도 진보작가협회 창립대회 의장 연설 (1936년 4월, 러크나우)	전인도 진보작가협회(All-India Progressive Writers' Association)	
src--rabindra-bhavana	라빈드라 바바나(Rabindra-Bhavana) 타고르 아카이브	Visva-Bharati University, Santiniketan	
src--gitanjali-song-offerings-1912	『Song Offerings』 초판 (1912), 예이츠 서문	The India Society, London	
src--encyclopaedia-iranica	Encyclopædia Iranica — 표제 항목	Encyclopaedia Iranica Foundation / Columbia University	https://iranicaonline.org
src--schulz-witkiewicz-1935	브루노 슐츠, 「스타니스와프 이그나치 비트키에비치에게 보내는 편지」 (1935)	Tygodnik Ilustrowany (바르샤바) 게재, 이후 슐츠 산문집에 수록	
src--gombrowicz-dziennik	비톨트 곰브로비치, 『일기』 — 파리 『쿨투라』 연재본 (1953년 시작)	Instytut Literacki / Kultura, Paris	
src--gombrowicz-testament	비톨트 곰브로비치, 『테스타멘트 — 도미니크 드 루와의 대담』 (1968)	Éditions Belfond, Paris	
src--canetti-broch-rede-1936	엘리아스 카네티, 「헤르만 브로흐 — 50세 생일 연설, 빈 1936년 11월」	『말의 양심』(Das Gewissen der Worte) 수록, Carl Hanser Verlag	
src--chukovskaya-zapiski	리디야 추콥스카야, 『안나 아흐마토바에 관한 기록』 (전 3권)	Лидия Чуковская, «Записки об Анне Ахматовой» 러시아어 판본	
src--vallejo-trilce-1922-lima	César Vallejo, 『트릴세』 초판 (Lima, 1922)	Talleres Tipográficos de la Penitenciaría, Lima	
src--hedayat-buf-e-kur-bombay-1936	사데크 헤다야트, 『눈먼 부엉이』 봄베이 등사판 (1936–37)	저자 자비 등사, Bombay	
src--kafka-letters-felice	펠리체 바우어에게 보낸 편지 (1913. 9.)	Franz Kafka 서간집	
src--pessoa-letter-casais-monteiro	아돌푸 카사이스 몬테이루에게 보낸 편지 (1935. 1. 13.)	Fernando Pessoa 서간	
src--te-ara-nz	Te Ara: The Encyclopedia of New Zealand — Dictionary of New Zealand Biography 인물 항목	New Zealand Ministry for Culture and Heritage (Manatū Taonga)	
src--brecht-arbeitsjournal	베르톨트 브레히트 작업일지 (Arbeitsjournal, 1938–1955)	Bertolt Brecht 유고 — Suhrkamp 판 작업일지	
src--bulgakov-letter-1930	소련 정부에 보낸 편지 (1930. 3. 28.)	미하일 불가코프 서한 — 러시아어 서한집 수록	
src--babel-1934-congress-speech	제1차 전연방 소비에트 작가대회 연설 (1934. 8.)	소비에트 작가동맹 제1차 대회 속기록	
src--lorca-duende-lecture	「유희와 두엔데의 이론」 강연 (1933, 부에노스아이레스)	페데리코 가르시아 로르카 강연록	
src--fundacion-lorca	Fundación Federico García Lorca 연보·소장 자료 안내	Centro Federico García Lorca (Granada)	
src--wikisource-de-das-urteil	Das Urteil — Wikisource 전사 (1913 Arkadia 인쇄본 기준)	de.wikisource.org	https://de.wikisource.org/wiki/Das_Urteil
src--wikisource-de-die-verwandlung	Die Verwandlung — Wikisource 전사 (Die Weißen Blätter 1915년 10월호 기준)	de.wikisource.org	https://de.wikisource.org/wiki/Die_Verwandlung_(Franz_Kafka)
src--wikisource-de-in-der-strafkolonie	In der Strafkolonie — Wikisource 전사 (Kurt Wolff 1919 초판 기준)	de.wikisource.org	https://de.wikisource.org/wiki/In_der_Strafkolonie
src--wikisource-de-der-prozess-1925	Der Prozess — Wikisource 스캔 전사 (Die Schmiede 1925 초판, ÖNB-ANNO)	de.wikisource.org	https://de.wikisource.org/wiki/Index:Der_Prozess
src--wikisource-de-das-schloss-1926	Das Schloß — Wikisource 스캔 전사 (Kurt Wolff 1926 초판, ÖNB-ANNO)	de.wikisource.org	https://de.wikisource.org/wiki/Index:Das_Schlo%C3%9F_(Kafka)
src--dewiki-das-urteil	Das Urteil (Kafka) — 독일어 위키백과	de.wikipedia.org	https://de.wikipedia.org/wiki/Das_Urteil_(Kafka)
